date,count
2013-03-03,117
2013-03-04,1598
2013-03-05,1783
2013-03-06,1603
2013-03-07,1766
2013-03-08,1857
2013-03-09,1754
2013-03-10,1681
2013-03-11,1885
2013-03-12,1830
2013-03-13,1828
2013-03-14,1781
2013-03-15,2030
2013-03-16,2108
2013-03-17,2080
2013-03-18,2010
2013-03-19,2237
2013-03-20,1995
2013-03-21,2694
2013-03-22,1744
2013-03-23,1793
2013-03-24,2049
2013-03-25,1861
2013-03-26,2005
2013-03-27,1839
2013-03-28,1801
2013-03-29,1782
2013-03-30,1885
2013-03-31,2069
2013-04-01,1779
2013-04-02,1908
2013-04-03,1837
2013-04-04,1899
2013-04-05,1744
2013-04-06,2150
2013-04-07,1942
2013-04-08,1809
2013-04-09,1845
2013-04-10,1937
2013-04-11,1799
2013-04-12,1882
2013-04-13,2035
2013-04-14,1956
2013-04-15,2214
2013-04-16,2095
2013-04-17,2489
2013-04-18,2301
2013-04-19,2268
2013-04-20,2395
2013-04-21,2604
2013-04-22,2377
2013-04-23,2494
2013-04-24,2070
2013-04-25,2086
2013-04-26,2169
2013-04-27,2219
2013-04-28,2470
2013-04-29,2343
2013-04-30,2260
2013-05-01,2148
2013-05-02,1932
2013-05-03,2222
2013-05-04,2279
2013-05-05,2221
2013-05-06,2736
2013-05-07,2284
2013-05-08,2574
2013-05-09,2292
2013-05-10,2258
2013-05-11,2185
2013-05-12,2228
2013-05-13,2122
2013-05-14,2072
2013-05-15,2069
2013-05-16,2169
2013-05-17,2242
2013-05-18,4817
2013-05-19,2244
2013-05-20,2481
2013-05-21,1852
2013-05-22,2004
2013-05-23,2112
2013-05-24,2230
2013-05-25,2317
2013-05-26,2136
2013-05-27,2099
2013-05-28,2237
2013-05-29,2347
2013-05-30,2061
2013-05-31,2038
2013-06-01,2090
2013-06-02,1919
2013-06-03,2162
2013-06-04,2050
2013-06-05,2181
2013-06-06,1980
2013-06-07,1925
2013-06-08,1814
2013-06-09,2018
2013-06-10,2311
2013-06-11,2100
2013-06-12,1935
2013-06-13,1988
2013-06-14,1984
2013-06-15,2165
2013-06-16,2206
2013-06-17,2069
2013-06-18,2021
2013-06-19,2930
2013-06-20,2216
2013-06-21,2155
2013-06-22,2162
2013-06-23,2092
2013-06-24,2179
2013-06-25,2090
2013-06-26,2704
2013-06-27,2437
2013-06-28,2320
2013-06-29,2362
2013-06-30,2288
2013-07-01,2229
2013-07-02,2243
2013-07-03,2065
2013-07-04,2179
2013-07-05,2152
2013-07-06,2101
2013-07-07,2858
2013-07-08,3284
2013-07-09,2346
2013-07-10,2579
2013-07-11,2577
2013-07-12,2370
2013-07-13,2367
2013-07-14,2513
2013-07-15,2370
2013-07-16,2487
2013-07-17,2186
2013-07-18,2337
2013-07-19,2528
2013-07-20,2281
2013-07-21,2063
2013-07-22,3058
2013-07-23,3868
2013-07-24,13474
2013-07-25,2619
2013-07-26,2474
2013-07-27,2137
2013-07-28,2087
2013-07-29,2297
2013-07-30,2327
2013-07-31,2372
2013-08-01,2166
2013-08-02,2230
2013-08-03,2294
2013-08-04,3302
2013-08-05,2314
2013-08-06,2184
2013-08-07,2937
2013-08-08,2735
2013-08-09,2316
2013-08-10,2522
2013-08-11,2817
2013-08-12,3313
2013-08-13,2654
2013-08-14,2571
2013-08-15,2534
2013-08-16,2197
2013-08-17,2275
2013-08-18,2353
2013-08-19,2192
2013-08-20,2402
2013-08-21,2217
2013-08-22,2226
2013-08-23,2249
2013-08-24,2239
2013-08-25,2098
2013-08-26,11346
2013-08-27,11848
2013-08-28,2291
2013-08-29,2203
2013-08-30,2342
2013-08-31,2437
2013-09-01,2327
2013-09-02,2546
2013-09-03,2415
2013-09-04,2504
2013-09-05,2526
2013-09-06,2694
2013-09-07,2544
2013-09-08,691
